species,island,flipper_length_mm,body_mass_g,sex,year,body_mass_kg
Chinstrap penguin (Pygoscelis antarctica),Dream,203,4050,MALE,2009,4.05
Chinstrap penguin (Pygoscelis antarctica),Dream,187,3350,FEMALE,2009,3.35
Chinstrap penguin (Pygoscelis antarctica),Dream,197,3450,MALE,2009,3.45
Chinstrap penguin (Pygoscelis antarctica),Dream,191,3250,FEMALE,2009,3.25
Chinstrap penguin (Pygoscelis antarctica),Dream,203,4050,MALE,2009,4.05
Chinstrap penguin (Pygoscelis antarctica),Dream,202,3800,MALE,2009,3.8
Chinstrap penguin (Pygoscelis antarctica),Dream,194,3525,FEMALE,2009,3.525
Chinstrap penguin (Pygoscelis antarctica),Dream,206,3950,MALE,2009,3.95
Chinstrap penguin (Pygoscelis antarctica),Dream,189,3650,FEMALE,2009,3.65
Chinstrap penguin (Pygoscelis antarctica),Dream,195,3650,FEMALE,2009,3.65
Chinstrap penguin (Pygoscelis antarctica),Dream,207,4000,MALE,2009,4
Chinstrap penguin (Pygoscelis antarctica),Dream,202,3400,FEMALE,2009,3.4
Chinstrap penguin (Pygoscelis antarctica),Dream,193,3775,MALE,2009,3.775
Chinstrap penguin (Pygoscelis antarctica),Dream,210,4100,MALE,2009,4.1
Chinstrap penguin (Pygoscelis antarctica),Dream,198,3775,FEMALE,2009,3.775
